,Search,Position,Company,Description
0,data analyst,Marketing Data Analyst,"Analysis Group, Inc.","Overview:

Make an impact at Analysis Group, where we provide our clients with thoughtful, pragmatic solutions to their most challenging business and litigation problems. Analysis Group is one of the largest international economics consulting firms, with more than 1,000 professionals across 14 offices in North America, Europe, and Asia. Since 1981, we have provided expertise in economics, finance, health care analytics, and strategy to top law firms, Fortune Global 500 companies, and government agencies worldwide. Our internal experts, together with our network of affiliated experts from academia, industry, and government, offer our clients exceptional breadth and depth of expertise.
As a member of the Marketing & Business Development team, the Marketing Data Analyst works in a collaborative environment with all marketing subdivisions (digital, editorial, graphics, business development, BD research) as well as the events team, administrative team, IT, and senior professional staff. The Marketing Data Analyst ensures that our CRM data quality is accurate, complete, and current; and maintains and promotes the use of Analysis Group’s CRM system, currently InterAction. The Marketing Data Analyst also assists in the development of our direct marketing mailing lists, the tracking of email engagement metrics, and the maintenance of our experience and affiliates databases.
Essential Job Functions and Responsibilities:
Develop tailored list strategies for direct marketing campaigns; manage list generation and cleansing; develop standard import/export templates; import/export lists for Marketing and end users; ensure mailing lists are kept up-to-date
Improve CRM data quality: Update contact records; manage bounce backs from outgoing mail projects; monitor and merge duplicate contacts with accurate data; apply appropriate practice area, specialization and industry tags; ensure contacts are associated with their respective firm/company; standardize firm/company names and addresses; and populate necessary data fields
Develop queries to facilitate customized data searches and reports, and analyze data to facilitate decision-making in conjunction with the company’s business needs
Review data change management tickets in CRM
Monitor CRM mailbox and support end users with questions and reporting needs
Ensure that consultants and administrators are contributing contacts, vetting lists as appropriate, adding contacts to appropriate lists, and keeping data accurate to confirm that mailings are complete and correct
Work with Marketing Data Manager and other Digital Marketing team members to produce email metrics reports and maintain comprehensive records of direct marketing activities.
Support the maintenance of data for our affiliates database, working with the Senior Marketing Data Coordinator to ensure that records are kept up to date on all affiliates, and supporting consultants and other staff on their use of the database
Collaborate with the BD Research team to support data projects such as our client litigation alert process
Support all data processes for the annual holiday card project, including working with senior consultants and administrative staff on list review, working with the Events team to coordinate gifts, and managing communication on timelines and deliverables with involved parties
Work with the IT and CRM managers to troubleshoot user issues in a daily support capacity
Assist with other digital marketing data activities as needed
Qualifications:
Bachelor’s degree required. Degree in Business, Marketing, Market Research or a related field is desired.
2 years of substantive relevant experience required.
An ideal candidate will have 2-4 years of experience.
Prior experience in a professional services environment preferred.
Excellent data manipulation skills, especially within CRM databases and Excel
Ability to effectively communicate and collaborate with colleagues, both verbally and through written communication.
Strong attention to detail required.
Training, or experience in data systems, data analysis desired
Proficiency with a CRM system required. Prior use of InterAction or other CRM system in a professional services or B2B environment preferred.
Understanding of direct marketing, as well as mailing list production and quality desired
An inclusive and growth-oriented mindset, strong interpersonal skills, and an ability to work across differences.
Eligible candidates must be authorized to work in the United States without sponsorship or restriction, now and in the future.
Analysis Group embraces diversity and equal opportunity in a deep and meaningful way. We are committed to building teams that represent a variety of backgrounds, perspectives, and skills. The more inclusive we are, the better our work will be. We provide equal opportunities across all sexual orientations, gender identities and expressions, races, colors, ethnicities, mental and physical abilities and characteristics, ages, socioeconomic statuses, and religions, and we encourage candidates of all backgrounds to apply.
Other Information:
Nothing in this job description restricts Analysis Group Inc.’s right to assign or reassign duties and responsibilities to the position at any time. The position is at will, which means that it can be terminated by the employee holding the position or by Analysis Group, Inc. at any time, with or without cause or notice. Equal Opportunity Employer/Protected Veterans/Individuals with Disabilities.
Equal Opportunity Employer/Protected Veterans/Individuals with Disabilities.
The contractor will not discharge or in any other manner discriminate against employees or applicants because they have inquired about, discussed, or disclosed their own pay or the pay of another employee or applicant. However, employees who have access to the compensation information of other employees or applicants as a part of their essential job functions cannot disclose the pay of other employees or applicants to individuals who do not otherwise have access to compensation information, unless the disclosure is (a) in response to a formal complaint or charge, (b) in furtherance of an investigation, proceeding, hearing, or action, including an investigation conducted by the employer, or (c) consistent with the contractor's legal duty to furnish information.

Â:
Equal Opportunity Employer/Protected Veterans/Individuals with Disabilities.
Please view Equal Employment Opportunity Posters provided by OFCCP here.
The contractor will not discharge or in any other manner discriminate against employees or applicants because they have inquired about, discussed, or disclosed their own pay or the pay of another employee or applicant. However, employees who have access to the compensation information of other employees or applicants as a part of their essential job functions cannot disclose the pay of other employees or applicants to individuals who do not otherwise have access to compensation information, unless the disclosure is (a) in response to a formal complaint or charge, (b) in furtherance of an investigation, proceeding, hearing, or action, including an investigation conducted by the employer, or (c) consistent with the contractor's legal duty to furnish information. 41 CFR 60-1.35(c)"
1,data analyst,Data Analyst,UTEC,"
To apply visit https://utecinc.applytojob.com/apply/8Q5FNnw036/Data-Analyst
The primary role of this position is to support the Director of Evaluation and other UTEC program managers across departments broadly in ensuring that robust, equitable, and meaningful data and reports about UTEC programming operations and core program outcomes are accessible in a timely and accurate fashion.
Background on UTEC, INC.:
UTEC’s promise is to ignite and nurture the ambition of our most disengaged youth to trade violence and poverty for social and economic success. UTEC’s outcomes-focused model begins with intensive street outreach, reaching proven high-risk youth “where they’re at.” UTEC engages youth in workforce development and educational programs and provides intensive case management. Social justice and civic engagement are embedded in all programming. For more info, please visit www.utecinc.org.
Serving young adults throughout Merrimack Valley (Lowell, Lawrence and Haverhill), UTEC was founded in 1999 as a nonprofit organization dedicated to helping young adults (ages 17-25) overcome the very real challenges of poverty, gang involvement, unemployment. UTEC reaches 500+ youth annually through an evidence-based model aimed at reducing recidivism while increasing education and employment attainment.
Duties/Responsibilities:

Support UTEC in organizing and transforming information into comprehensible structures
Use data mining to extract information from data sets to identify correlations and patterns
Assist in the preparation and presentation of reports to program leaders and external partners
Conduct regular data audits to ensure that data is high quality, and facilitate data transfer between internal and external systems
Communicate regularly with program managers from multiple departments and, as appropriate, external partners to understand data content and business requirements with an emphasis on ensuring that UTEC’s data collection and reporting are equitable and reflect UTEC’s core values
Responsible for entering information into partner database systems (SSYI CRM) to ensure UTEC data is being accurately accounted for
Ability to manage up to Director of Evaluation and leadership team regarding data analysis
Managing data, including creation and updates
Managing all users and roles in the data system
Processing confidential data and information in a secure manner
Support in implementation of new or upgraded software systems as needed
Guide and train team members in the development of new report automation

Required Skills/Abilities:

Strong analytic skills, including mathematics and basic statistics
Proficiency with Excel and Google docs required
Strong attention to detail
Strong organizational and time management skills
Strong effective written and verbal communication
Prior experience developing or using tools and techniques to visualize data in easy-to-understand formats (e.g. data dashboards)
Prior experience performing routine statistical analyses of data
Familiarity with CRM systems a plus, especially a familiarity with Microsoft Dynamics 365 and/or Quick base
Familiarity with data reporting for state or federal contacts is preferred

Education and Experience:

Bachelor's preferred, or at least 1-2 years of relevant work experience
Experience working with data from vulnerable populations requiring additional sensitivity and security in data collection is a plus
Previous work, volunteer or lived experience with principles of community-engaged research and/or data collection to ensure that community members from historically vulnerable communities have ownership and representation in how data is collected is a plus.

Physical Requirements:

Prolonged periods sitting at a desk and working on a computer.
Comfortable with the physical demands of ordinary data entry, including manual entry and cleaning of data fields as required

Salary/Benefits: Salary range of $45,000- $65,000 commensurate with experience. Please see www.utecinc.org/jobs for more details.
Job Type: Full-time
Pay: $45,000.00 - $65,000.00 per year
Schedule:

Monday to Friday

Work Location: One location
"
2,data analyst,Charles River Business Analyst,Janus Henderson,"



    We are a leading independent global asset manager, dedicated to delivering the best outcomes for our clients through a highly diversified range of actively-managed products. We are truly global, supporting our individual and institutional investors across a range of products, encompassing equities, fixed income, multi-asset and alternatives. Our high-energy and collaborative culture at Janus Henderson helps our client achieve their goals and ensures that our people love the place they work.
   



    The department 
   

    The Technology department plays a crucial role in supporting the success of Janus Henderson. We are responsible for developing, implementing and supporting state-of-the-art software to support our fund management, trading, distribution and operational areas and for maintaining a stable and resilient IT infrastructure platform.
   



    The Global Technology department has 400+ employees, running numerous change projects across all areas of the firm, including vendor implementations, regulatory change, in-house development, as well as overseeing change delivery from third party suppliers.
   



    The Investment, Trading & Compliance Technology team is responsible for providing the best solutions and newest innovations to the globally located trading desks and fund managers. The team work very closely with the business and third parties and have a strong relationship and respected reputation for delivering change. Change is either delivered through major initiative funded projects or through the Front Office Scrum.
   



    Overview of the role
   

    Within this role, your main responsibility will be to evaluate and capture the needs and wants of our global front office business partners (portfolio managers, traders, compliance analysts and their respective support functions) and implement them within the technical/systems ecosystem at JHI in a forward-thinking manner that balances near term concerns/tactical solutions with the longer term/strategic direction of Investments, Trading and Compliance Technology. You will run regular reporting with global senior stakeholders. You will help identify strategic impacts of any cross-team dependencies and escalate where necessary. Core impacted teams being in UK, US, Singapore and Australia. At JHI, outsourcing forms the basis for the Global Operating Model and therefore this role will require engagement and management of Third-Party Administrators to successfully deliver change.
   



    Duties and responsibilities
   

    You will: 
   

Work with portfolio managers, traders, compliance officers and their support staff to understand, capture, refine and implement workflows within the team scrums.
Keep up to date with changes reflected in internal and vendor software. Identify where new functionality could be usefully implemented and offer efficiencies in the Front Office.
Always work with the big picture in mind.
Collaborate with wider technology teams to coordinate inter dependencies and resolve issues.
Work with data teams to ensure investment professionals are presented with accurate security master, trading, execution, commission, position and lot level data.
Participate fully in all scrum ceremonies. Take full responsibility for solution delivery. This includes facilitating meetings, running white board sessions, obtaining signoff of acceptance criteria and managing implementation through the guarantee period.
Contribute to the maintenance of issue logs, meeting minutes, meeting schedules, project summaries and updates.
Produce quality test strategies and lead all aspects of system and user acceptance testing.
You will work closely with Product Owners to ensure: 
     
Any risks / issues are highlighted and mitigation options are worked through. 
Reporting of progress is clear and concise, ensuring deliverables and timelines are adhered to.

Carry out additional duties as assigned.




    Technical skills and qualifications
   

CRD CRIMS 20r+ experience.
Strong working history with Equity Traders, PM’s, Compliance, and Operations.
In depth understanding of the full lifecycle of trades.
Be time sensitive of your own, and the trader’s / PM’s time for all interactions.
Experience working with Manager Workbench, Trade Blotters, Modelling, Portfolio Management, Compliance, Order Management, Trading and Execution Management systems including expertise with multiple modules of the Charles River Investment Management System, Version 20r+.
Experience of the analysis process including: requirements gathering in form of user stories, writing acceptance criteria / test cases, implementation, capturing sign offs and presenting demos to business.
Ability to analyse high-level requirements and translate these into overall detailed system-level designs to be used for architectural design, cost / benefit analysis, and solution development.
Understand and document process maps using tools such as Visio.
Knowledge of financial products used in asset management including, Equities, Cash, Fixed Income and Complex Swap instruments. Have experience of implementing change across mentioned instrument types.
Experience of Flextrade, TSOX, EMX.
IMC certification advantageous but not essential.
SQL proficiency sufficient to analyse data and investigate stored procedures written in Transact SQL.
Understanding of messaging technologies used for the communication of transactional data to 3rd party vendor applications.
Understand change delivery within the asset management sector.
Agile experience is highly favourable.
Knowledge of Jira and Confluence.





    Competencies required
   

    In addition to putting clients first, acting like an owner, and succeeding as a team, the competencies for this role include: 
   

A good teammate - collegiate approach to work circulating important information and contributing to team discussion.
Problem solving/analysis – understanding of complex issues and problems, ability to distill them into useful components and able to identify practical, pragmatic solutions.
Self-motivated with an enthusiastic approach – a completer-finisher able to work on own initiative with a focus on ownership to resolution.
Ability to communicate, present, influence, reason and demonstrate the ability to articulate information technology concepts to non-technology personnel in a clear and compelling manner.
Ability to deliver on full workloads and exceed high expectations while remaining focused and organised in a fast-paced environment.





    Ongoing competence in the role to be assessed, in line with applicable regulatory requirements, by:
   

Annual performance appraisal.
Completion of all assigned compliance training.





    Compliance requirements 
   

    At a minimum the role will require you to: 
   

Place the interest of Janus Henderson’s Clients first, act in accordance with TCF (Treating Customers Fairly) principles.
Understand and follow laws and regulations applicable for your role, seeking the help of your supervising manager or Compliance if additional guidance is required. 
Understand and abide by all Janus Henderson policies applicable to your role, and seek support/guidance of the policy owner guidance when required. 
You are ultimately accountable for your actions and responsible for seeking further information on any or all of the above as necessary.




    Compensation Information
   

    The base salary range for this position is $165,000 - $175,000. This range is estimated for this role. Actual pay may be different
   



    #LI-GS1
   

    #LI-Hybrid
   



Annual Bonus Opportunity: Position is eligible to receive an annual discretionary bonus award from the profit pool. The profit pool is funded based on Company profits. Individual bonuses are determined based on Company, department, team and individual performance.
   



Benefits: Janus Henderson is committed to offering a comprehensive total rewards package to eligible employees that includes; competitive compensation, pension/retirement plans, and various health, wellbeing and lifestyle benefits. To learn more about our offerings please visit the Why Join Us section on the career page here.
   



    Janus Henderson (including its subsidiaries) will not maintain existing or sponsor new industry registrations or licenses where not supported by an employee’s job functions (as determined by Janus Henderson at its sole discretion).
   


"
3,data analyst,Data Analyst Pharmacy,Boston Medical Center,"POSITION SUMMARY:

Boston Medical Center Health System is a $2.6B integrated health system devoted to the proposition that every person regardless of their social or economic circumstances deserves the best health care. Our mission is to provide Exceptional Care, Without Exception and our vision is to make Boston the healthiest urban population in the world.


Our health system includes:

Boston Medical Center, a 498-bed academic medical center and the leading safety-net hospital in New England
Boston HealthNet, a network of 15 community health centers throughout Boston
BMC Health Plan, a Medicaid managed care health plan that serves over 400,000 members across Massachusetts and New Hampshire
Boston Accountable Care Organization, a partnership between BMC and local CHCs created to coordinate delivery of care across our health network
Boston Medical Center's Pharmacy department is one of the largest and most clinically advanced pharmacy programs in the US, comprising of:

A large retail pharmacy network with about ~2.0M prescriptions filled per year
A specialty pharmacy program that is one of the largest and most clinically advanced in the country, serving tens of thousands of patients with exceptional specialty pharmacy care
An organization directly serving the BMC HealthNet Plan across Massachusetts and New Hampshire
And a clinical program that is grounded on disciplined recruitment, exceptional service, reliable retention and alignment with total health system strategy
Pharmacy analytics plays a key role in helping the Pharmacy department succeed across the enterprise. The ability to collect, analyze, and interpret data is critical to growing our business, proactively identifying trends, setting expectations through KPIs, and most importantly taking care of our patients. We are enabled by a robust hospital analytics infrastructure consisting of data from numerous sources both inside and outside of Pharmacy. The maturity of our abilities allows us to develop our own technology platforms and open opportunities for our system to access drugs and payors typically restricted to other health systems.

We are looking for team members who have the expertise to create efficiencies within our current operations (automated reports, data science, and innovative solutions for ad hoc reporting as some examples). An analyst within our team should have the ability to deeply understand the data pulled and work with business owners to create a stronger analytics engine. These analytics connect patients in need to life-saving therapies and enable one of the best programs in the country to continue to grow.

On a day to day basis, the analyst will perform data pulls, create dashboards to help track operational efficiencies, quality check data for accuracy, collaborate and refine reports with the finance function, support ad hoc reporting and more. On a longitudinal basis the analyst will help develop new tools, conduct periodic programmatic analysis (e.g. quarterly opportunity updates), and produce larger ad hoc analyses (e.g. to evaluate a new product offering ROI, etc.).

JOB DESCRIPTION


DUTIES & RESPONSIBILITIES:

Key Responsibilities :

Develop analyses that help the organization understand and monitor performance, break down key drivers, and identify new opportunities
Create ongoing reports and high-impact dashboards and visuals that effectively communicate performance to operational and clinical leaders and stakeholders (e.g, Tableau dashboards)
Acts as pharmacy data Subject Matter Expert (SME) responsible for understanding the pharmacy data living in systems throughout BMC
Understand the legal issues regarding participation in specific pharmacy service agreements including 340b patient eligibility
Query databases to provide Pharmacy stakeholders with key information to manage their operations
Designs and maintains databases of financial and clinical data for pharmacy programs for program evaluations, competitor comparisons, and responses to request for proposals

Works with person responsible for contract for Medication Therapy Management (MTM) program to conduct vendor monitoring, data validation, and reporting
Collaborate extensively with Finance, Analytics, IT, and business leads to deliver on organizational goals
Manage multiple projects and analyses simultaneously while meeting key deadlines and deliverables, and prioritizing time and resources
Identify and elevate key obstacles for intervention that may jeopardize timelines

(The above statements in this job description are intended to depict the general nature and level of work assigned to the employee(s) in this job. The above is not intended to represent an exhaustive list of accountable duties and responsibilities required).

JOB REQUIREMENTS

EDUCATION:

Bachelor's degree, preference for concentration in economics, biology, biostatistics, data science, statistics, or computer science; Masters degree preferred.

CERTIFICATES, LICENSES, REGISTRATIONS REQUIRED:

None.

EXPERIENCE:

Two to three years of data analytics experience working with large data sets to answer important clinical, operational, or business questions; prior experience with healthcare or pharmacy data a plus.
Ability to conduct advanced analytics using SQL; fluent in Excel. Knowledge of healthcare claims, pharmacy, and/or EMR data a plus. Proficiency with other scripting languages, e.g. R, SAS, Python a plus.
Experience with retail pharmacy systems such as RX30 and QS/1 preferred.
Experience with CRM / cloud data systems such as Salesforce preferred
Req id: 20036"
4,data analyst,Data Integration Analyst,Atrium Staffing,"

Our client, a fast-growing healthcare analytics company in Boston, MA is looking to add a Data Integration Analyst on their team!
 Salary/Hourly Rate:
 $90,000 – $100,000
 Position Overview:
 The Data Integration Analyst will work with a wide variety of healthcare data sources and standardize incoming data for use in their software analytics platform. The Data Integration Analyst must have experience with Data Mapping.
 Responsibilities of the Data Integration Analyst:

Map healthcare related data elements to a standard terminology
Verify the extraction and normalization specifications applied to client data
Review client data and dictionary updates and implement appropriate revisions to mapping tables
Create and maintain data mapping documentation
Work closely with others in the investigation of data anomalies

Qualifications for the Data Integration Analyst:

Minimum 2+ years of experience analyzing, aggregating, and understanding clinical or medical data
Proficiency in SQL
Strong understanding of clinical processes and vocabulary
Strong knowledge of health information systems including EMR, and claims processing
Strong knowledge of relational database systems

Education Requirements:

Bachelor’s or Master’s degree in health sciences, health information systems, computer science, mathematics or related field is required

Benefits:

Atrium Care package available, upon eligibility

The post Data Integration Analyst appeared first on Atrium.

"
5,data analyst,Research Analyst (Data),MIT,"


Information on MIT’s COVID-19 vaccination requirement can be found at the bottom of this posting.  
RESEARCH ANALYST (DATA), Abdul Latif Jameel Poverty Action Lab (J-PAL) (multiple openings), to work closely with and support the research of an MIT faculty member, largely in the area of data analysis. Will work hand-in-hand with faculty members to clean and analyze data collected from the field. Responsibilities include working with data sets, preparing and running code for data cleaning and analysis; coding in STATA or R; assisting faculty with literature reviews; liaising with field staff running evaluations; providing input into technical aspects of project reports for funders; assisting with technical aspects of new and renewal applications to Institutional Review Boards (IRB) and replying to questions from J-PAL administrative staff working on IRB issues; providing input as appropriate into academic papers; preparing data for publication and publishing in publicly-accessible repositories; supervising undergraduate interns who may assist with the PI’s project; and performing other tasks as assigned. The typical research analyst is considering future graduate study in economics.



Job Requirements REQUIRED: a bachelor’s degree that includeD training in economics and coursework in statistics, mathematics, and econometrics; hands-on experience with Stata or similar statistical package; experience working with large datasets; good oral and written communication skills; ability to handle several different projects/tasks simultaneously, successfully complete assigned tasks, and meet deadlines; self-motivation; and willingness to learn. Formal post-undergraduate professional experience is not required. Job #20318


"
6,data analyst,Stroke Data Analyst - Comprehensive Stroke Center,Tufts Medical Center,"

  Company Description
   It takes a lot of very smart, hard-working and talented people to provide the level of care that we give to our patients. Tufts Medical Center is an internationally respected academic medical center and we pride ourselves not only on the sophistication of the care we deliver, but the compassionate way in which we provide it. And that starts with our employees.



  Job Description
   GENERAL SUMMARY:
 The Stroke Data Analyst (SDA) is a key member of the team running the Comprehensive Stroke Center (CSC) at Tufts Medical Center, a 415 bed tertiary care, academic medical center in downtown Boston, MA providing care for more than 1000 patients with stroke each year. The SDA is an expert in data tracking for clinical performance metrics, database management, data visualization, data analysis to facilitate process improvement, external reporting, and certification. The SDA reports to and works in partnership with the Medical Director of the CSC and the Stroke Advanced Practice Nurse to guide the care processes of the CSC
 PRINCIPAL DUTIES AND ESSENTIAL FUNCTIONS:

 Maintain and improve a concurrent database tracking the clinical care of hospitalized patients with acute stroke, monitoring achievement of core performance measures and areas identified for process improvement, and informing the Stroke APN and clinical teams of missing actions
 Maintain and improve a database evaluating clinical performance during Stroke Codes with time tracking and including patients eligible for intravenous fibrinolysis and/or endovascular therapy in order to guide process improvement.
 Maintain and improve an adverse event database to identify and facilitate clinical review of selected adverse events among hospitalized patients with acute stroke to help guide process improvement.
 Maintain high fidelity in data representation of clinical care performance for external reporting agencies including the Joint Commission, Get with the Guidelines, Coverdell/Department of Health, Center for Medicare/Medicaid Services, and others, working with data abstractors, the Quality department, administrators, and clinicians to reconcile these data with the concurrent database.
 Facilitate external reporting of clinical care performance measures to the Joint Commission, Get with the Guidelines, Coverdell/Department of Health, etc.
 Periodically audit patient charts (select number per month) to assess adequacy of clinical documentation practices.
 Prepare weekly reports of stroke case numbers and current performance for high priority quality assurance/process improvement initiatives, and other scheduled, defined reports as requested by the Medical Director of the CSC.
 Maintain and improve a core performance metric dashboard, and present this data at monthly meetings of the multidisciplinary Stroke Council.
 Analyze databases and summary reports, identify trends in clinical performance, and perform statistical analyses and data visualizations to help understand the magnitude and potential factors influencing these trends.
 Perform “drill down” investigations when clinical or process measures are not met to identify potential factors influencing these trends.
 Facilitate case updates for allied clinicians including Emergency Medical Services, referring physicians at community hospitals, and clinical care teams at Tufts MC.
 Coordinate and facilitate maintenance of Joint Commission certification of the Comprehensive Stroke Center along with the Stroke APN and Medical Director of the CSC, including preparing presentations on data use and clinical performance metrics.
 Track annual education requirements for CSC clinicians to help facilitate Joint Commission maintenance of certification.





  Qualifications
   JOB REQUIREMENTS:
 JOB KNOWLEDGE AND SKILLS:

 Knowledge of statistics and research methodologies.
 Knowledge of relational databases, report writing, and software packages for database management and presentations.
 Experience with SAS, R, or other similar statistical software.
 Ability to present complex data and concepts to clinicians.
 Analytical skills needed to work independently with databases, perform appropriate statistical analyses, and develop data visualizations to inform quality assurance and process improvement activities.
 Interpersonal skills needed to interact effectively with clinicians including physicians, nurses, and others in an academic medical center.
 Working understanding of quality assurance and process improvement methodologies preferred

 EDUCATION:

 Masters degree or equivalent in a clinical discipline, statistics/biostatistics, data science, or science

 EXPERIENCE:

 Three or more years of experience working in health care or a health care-related field in a position requiring database management preferred
 Prior experience interfacing with regulatory agencies such as the Joint Commission, Department of Health, etc., in the certification of clinical programs or hospitals preferred


 Additional Information
   All your information will be kept confidential according to EEO guidelines.

 AMERICANS WITH DISABILITIES STATEMENT:
 Must be able to perform all essential functions of this position with reasonable accommodation if disabled.
 The above statements are intended to describe the general nature and level of work being performed. They are not intended to be construed, as an exhaustive list of all responsibilities, duties and skills required of personnel so classified. Tufts Medical Center reserves the right to modify position duties at any time, to reflect process improvements and business necessity.
 COVID-19 POLICY:
 Please note that effective October 1, 2021, as a condition of employment at Tufts Medical Center, all employees and new hires must have received their complete dose of the COVID-19 vaccine, unless they have been granted an exemption.

"
7,data analyst,SQL Developer/Data Analyst/ BI Roles,PCS GLOBAL TECH,"
Responsibilities
· Help write and optimize in-application SQL statements.
· Ensure performance, security, and availability of databases.
· Prepare documentations and specifications.
· Handle common database procedures such as upgrade, backup, recovery, migration, etc.
· Write TSQL scripts and objects such as stored procedures, user-defined functions, views, indexes per business requirements.
· Create ETL SSIS packages to migrate data from OLTP sources to OLAP destinations through available tasks and transformations in SSIS.
· Design and create user interactive reports in SSRS, Power BI and Tableau.
· Profile server resource usage, and optimize and tweak as necessary.
· Collaborate with other team members and stakeholders.
Qualifications

BS or MS of degree in Computer Science, Information Technology, Engineering or related field is required

· Proficiency with SQL and its variation among popular databases
· Skilled at optimizing large complicated SQL statements
· Capable of configuring popular database engines and orchestrating clusters as necessary
· Ability to plan resource requirements from high level specifications
· Good communication skills
Benefits:

Health insurance
Dental insurance
Vision insurance

Job Types: Full-time, Contract
Salary: $60,000.00 - $70,000.00 per year
Education:

Bachelor's (Required)

Experience:

Microsoft SQL Server: 1 year (Required)

Willingness to travel:

100% (Preferred)

Work Location: One location
"
8,data analyst,Entry Level Data Analyst,PCS GLOBAL TECH,"
Junior Data Analyst Responsibilities: 

Managing master data, including creation, updates, and deletion.
Managing users and user roles.
Provide quality assurance of imported data, working with quality assurance analysts if necessary.
Commissioning and decommissioning of data sets.
Processing confidential data and information according to guidelines.
Helping develop reports and analysis.
Managing and designing the reporting environment, including data sources, security, and metadata.
Supporting the data warehouse in identifying and revising reporting requirements.
Supporting initiatives for data integrity and normalization.
Assessing tests and implementing new or upgraded software and assisting with strategic decisions on new systems.
Generating reports from single or multiple systems.
Troubleshooting the reporting database environment and reports.
Evaluating changes and updates to source production systems.
Training end-users on new reports and dashboards.
Providing technical expertise in data storage structures, data mining, and data cleansing.

Junior Data Analyst Requirements: 

Bachelor’s or Master's degree from an accredited university or college in computer science.
Work experience as a data analyst or in a related field.
Ability to work with stakeholders to assess potential risks.
Ability to analyze existing tools and databases and provide software solution recommendations.
Ability to translate business requirements into non-technical, lay terms.
High-level experience in methodologies and processes for managing large-scale databases.
Demonstrated experience in handling large data sets and relational databases.
Understanding of addressing and metadata standards.
High-level written and verbal communication skills.
SQL, PYTHON, JAVA, TABLEAU, etc

Job Types: Full-time, Contract
Pay: $65,000.00 - $70,000.00 per year
Schedule:

8 hour shift

Work Location: Multiple Locations
"
9,data analyst,Data Analyst I,Massachusetts General Hospital(MGH),"


Data Analyst I - (3192776)
  




 GENERAL SUMMARY/ OVERVIEW STATEMENT:

The NeuroValue Lab is seeking a full-time Data Analyst to provide analytic support for research activities within the Department of Neurology, Massachusetts General Hospital (MGH). The MGH NeuroValue lab focuses on health services and outcomes research, specifically assessing the economic burden associated with neurological conditions. The lab was created to increase the value of healthcare in neurology with respect to the ratio of quality and/or outcomes to cost (https://neurovalue.mgh.harvard.edu/). 
Reporting to Dr. Lidia Moura, M.D., M.P.H., Director MGH NeuroValue, the Data Analyst will contribute largely to the analytical components of ongoing studies.These studies will produce generalizable, publishable findings. Specifically, the Data Analyst will work with a team of investigators, clinical research coordinators and analysts on various clinical studies and quality improvement projects. The Data Analyst will be responsible for translating research questions into analytic plans; analyzing clinical data, conducting valid statistical tests and statistical models; and assisting with data visualization and communicating findings in presentations and manuscripts. 
We are looking for someone with training in biostatistics, epidemiology, statistics, or a related field. Analytical experience using Electronic Health Record (EHR) data, longitudinal data, and advanced clinical statistical models is preferred. Specific tasks will include: database management, data extraction, data cleaning/quality checks, and conducting statistical analysis using linked and/or multiple data sources.



PRINCIPAL DUTIES AND RESPONSIBILITIES:

The Data Analyst will be working directly under the supervision of Dr. Moura on various data-focused tasks including, but not limited to, data cleaning, data harmonization, data quality control, and data analysis and interpretation (e.g. multivariate regression analyses, survival analyses, etc.). The Data Analyst may also be asked to assist in conducting literature reviews, developing grant proposals, and developing presentations and manuscripts for dissemination of findings.





 SKILLS/ABILITIES/COMPETENCIES REQUIRED:

The ideal candidate will have achieved strong performance in college-level statistics courses, with demonstrated strong analytic ability (including at least some experience working in SAS, STATA, R, Python, or similar programming languages). This position requires attention to detail, especially in ensuring data security, quality and accuracy. The ability to work simultaneously on various tasks, to maintain attention to detail, and to effectively contribute to the project team are also essential.



EDUCATION:

Bachelor’s Degree Required, with some background in statistics or related field.



EXPERIENCE:

At least some demonstrated experience working in SAS, SPSS, R, Python, or other programming language is required, as is a desire to learn more about data analysis.



WORKING CONDITIONS:

This is an onsite position with some flexibility to work remotely on select days.



 EEO Statement


Massachusetts General Hospital is an Equal Opportunity Employer. By embracing diverse skills, perspectives and ideas, we choose to lead. Applications from protected veterans and individuals with disabilities are strongly encouraged.





 Primary Location MA-Boston-MGH Main Campus
  

 Work Locations MGH Main Campus 55 Fruit Street Boston 02114
  

 Job Professional/Managerial
  

 Organization Massachusetts General Hospital(MGH)
  

 Schedule Full-time
  

 Standard Hours 40
  

 Shift Day Job
  

 Employee Status Regular
  

 Recruiting Department MGH Neurology Research
  

 Job Posting Mar 24, 2022
  


"
