,Search,Position,Company,Description
0,cyber security,Cyber Security Specialist- Rapid Growth!,Creative Financial Staffing,"

IT Infrastructure & Cyber Security Specialist – on premises - Canton, MA

 About the Company and Opportunity:

Our client is a global manufacturer headquartered South of Boston
The company is known for investing in its employees
This company offers a variety of products and has experienced rapid growth and is considered an essential business.
This is a direct hire, on site role.

Overview of the IT Infrastructure & Cyber Security Specialist:

configure and manage servers, switches, routers and firewalls
monitor network infrastructure performance
respond to and address cyber security incidents
train, coach and mentor junior staff

Preferred Qualifications for the IT Infrastructure & Cyber Security Specialist:

Bachelor degree strongly preferred
Active Directory, VMware
international company experience strongly preferred
industry recognized certification in networking, Microsoft and Cyber Security
for immediate and confidential consideration please contact Melissa Mall-Alves mmallyalves@cfstaffing.com
   #CFSAPR2022
 
"
1,cyber security,Junior Security Engineer,Revature,"

We are seeking talented individuals that are motivated to kickstart their Technology career. No prior professional experience required.
 Revature is the largest and fastest growing employer of emerging technology talent across the U.S. Come join us! As a Revature Junior Security Engineer you will receive on-the-job-training to become an experienced software engineer
 Remote Interviews are starting now!
 Benefits for Junior Security Engineers:

 Launch a career with no prior experience
 Learn to code on the job. That’s right: We pay you to learn.
 Competitive salary
 Relocation & housing assistance
 Paid time off
 Industry Certifications – Employer paid.
 401k
 Mentoring program
 Experience with the largest companies in the US
 Career acceleration: Over 72% of Revature alumni have received an additional promotion and 92% saw their salary significantly increase after launching their tech career with Revature

 Junior Security Engineer Training Program

 Full Time paid training
 Real World Projects – to get your enterprise ready for placement with one of our corporate partners.
 Training on the most in-demand programming skills in the job market. We work together with our corporate partners, to identify the skills that are most vital to their organization
 We’re invested in your success—you’ll have an employee engagement team member to support and provide you with a wide range of assistance.
 As a Revature employee, you’ll also have access to our expansive network of like minded peers who can show you the ropes to ensure you’ll rock your tech career.

 What We Are Looking For

 College degree (Associates or Bachelors)
 Must be authorized to work in the US
 Strong desire to learn to code – No prior professional experience required.
 A natural problem solver
 Strong communication and interpersonal skills
 Willing to relocate anywhere in the US – Relocation assistance provided

 Working for Revature is more than a job, we develop you into an experienced Software Engineer and put you on an accelerated career path. Fast track your tech career and work for a company that invests in you—whose own success is dependent on your success.





 Equal Employment Opportunity
 The Company is an equal opportunity employer. We will extend equal opportunity to all individuals without regard to race, religion, color, sex, pregnancy, childbirth or related medical conditions, sexual orientation, gender identity, national origin, disability, age, genetic information, marital status, veteran status, or any other status protected under applicable federal, state, or local laws. This policy applies to all terms and conditions of employment, including but not limited to, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, benefits, compensation and training. If you require an accommodation to work based on any of these protected factors, please notify the Human Resources Department, and the Company will evaluate the request and provide an accommodation in accordance with applicable law.
 We seek to comply with all applicable federal, state and local laws related to discrimination and will not tolerate the interference with the ability of any of the Company’s employees to perform their job duties. Our policy reflects and affirms the Company’s commitment to the principles of fair employment and the elimination of all discriminatory practices.






"
2,cyber security,Information Security Risk & Compliance Analyst,The Kraft Group,"
*this is a fully on-site role and reports into our Foxborough, MA offices Monday - Friday* 
SUMMARYThis role will be responsible for building and implementing programs, policies and practices to ensure that the organization complies with industry and government regulatory compliance. You will liaise closely with internal business units, Legal, HR and other relevant departments to increase security awareness, assess compliance and where necessary, provide support in remediating non-compliant areas.
DUTIES AND RESPONSIBILITIESEstablish and manage a compliance calendar for training and attestations. Identify and coordinate the delivery of IT security training and awareness for both technical and non-technical audiences.Document and communicate policies and procedures as they relate to IT security and risk management to all key stakeholders. Establish and maintain a repository of policies and procedures for internal constituent's use.Leverage organizational risk assessment to develop and refine on-going processes and deliverables to improve IT security and compliance. Work collaboratively with external partners on ad hoc risk assessments to focus on specific areas of concern and deliverables. Document and archive vendor risk assessment reviews and attestations.Partner with the business unit leadership on standards and regulations, such as PCI DSS, EU GDPR, FDA CFR or new business initiative needs to ensure compliance and completion of any filings or attestations. Act as an advisor to associates and management on specific security requirements, implementations and the impact on business processes, applications and systems as needed.Assist in data protection program initiativesCommunicate identified security risks to appropriate parties to ensure a clear understanding of the risks as well as potential mitigations.Provide a monthly report on the status of any compliance activities and remediation efforts. Circulate these finding to Key Stakeholders.Remain current and a functional expert in security practices and IT security regulatory compliance.Special Projects as needed
SUPERVISORY RESPONSIBILITIESThis position has no SUPERVISORY RESPONSIBILITIES.
SKILLS AND QUALIFICATIONSBachelor's degree in information technology related field, management information systems, or business administration3 or more years of experience in information security, governance, IT audit, or risk managementStrong understanding of security governance, compliance, and risk management principlesAnalytical ability to assess risks, adequacy of controls, and impact upon business processesAbility to work and learn independentlyStrong written and verbal communication skills with all levels of managementAbility to manage multiple tasks concurrently
PHYSICAL DEMANDSSitting for extended periods of timeDexterity of hands and fingers to operate a computer keyboard, mouse, and other computing equipmentThe employee frequently is required to talk or hearThe employee is occasionally required to reach with hands and armsSpecific vision abilities required by this job include close vision, distance vision, color vision, peripheral vision, depth perception, and ability to adjust focusReasonable accommodations may be made to enable individuals with disabilities to perform the essential functions
WORK ENVIRONMENTThe noise level in the WORK ENVIRONMENT is usually moderateFast paced office environmentOn-call availability
CERTIFICATES, LICENSES, REGISTRATIONSCISA or similar certificationCISSP or CISM certification preferredCobIT or related IT audit experience preferred
OTHER DUTIESPlease note this job description is not designed to cover or contain a comprehensive listing of activities, duties or responsibilities that are required of the employee for this job. Duties, responsibilities and activities may change at any time with or without notice.This company is an equal opportunity employer. We evaluate qualified applicants without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, veteran status, and other legally protected characteristics.
Job Type: Full-time
Benefits:

401(k)
Dental insurance
Employee discount
Flexible spending account
Health insurance
Health savings account
Life insurance
Paid time off
Referral program
Retirement plan
Vision insurance

Schedule:

Monday to Friday
On call
Weekend availability

Ability to commute/relocate:

Foxborough, MA 02035: Reliably commute or planning to relocate before starting work (Required)

Work Location: One location
"
3,cyber security,Product Security Partner – Falcon Platform (Remote),Crowdstrike,"

  At CrowdStrike we’re on a mission - to stop breaches. Our groundbreaking technology, services delivery, and intelligence gathering together with our innovations in machine learning and behavioral-based detection, allow our customers to not only defend themselves, but do so in a future-proof manner. Because of that we’ve earned numerous honors and top rankings for our technology, organization and talent. Our culture was purpose-built to be remote first, and we offer flexible work arrangements to help our people manage their personal and professional lives in a way that works for them. If you’re ready to work on unrivaled technology with a team that makes a difference every day, let’s talk.
   About the Role
   Help us protect the Security Cloud from the most advanced threats! As a Product Security Partner you will work hand-in-hand with product engineers designing and implementing our core platform services. This highly dynamic, hands-on role will work in-depth with our scaled, event-driven, distributed infrastructure to ensure performance and protection are evenly balanced.
  

 Build and leverage threat models to secure core platform services

 Establish protections to enable product team usage of emergent cloud features

 Co-author next generation platform designs accounting for evolving threat and product landscapes

 What You’ll Need
  

 In-depth knowledge of Cloud platforms, Linux, and security at scale

 Experience working with teams engineering products and bringing them to market

 Demonstrated capabilities to effectively communicate and collaborate with diverse teams

 Understanding of compliance needs and evidence collection

 Moderate ability to create scripts, perform automation, and aggregate data for analysis

 A combination of confidence and independence…with the prudence to know when to ask for help

 #LI-Remote
   #LI-NT1
   #LI-MK1
   Benefits of Working at CrowdStrike:
  

 Remote-friendly culture

 Market leader in compensation and equity awards

 Competitive vacation and flexible working arrangements 

Comprehensive health benefits + 401k plan

 Paid Parental Leave, including adoption 

Wellness programs

 A variety of professional development and mentorship opportunities

 Open offices have stocked kitchens, coffee, soda and treats

 We are committed to building an inclusive culture of belonging that not only embraces the diversity of our people but also reflects the diversity of the communities in which we work and the customers we serve. We know that the happiest and highest performing teams include people with diverse perspectives that encourage new ways of solving problems, so we strive to attract and develop talent from all backgrounds and create workplaces where everyone feels seen, heard and empowered to bring their full, authentic selves to work.
   CrowdStrike is an Equal Opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex including sexual orientation and gender identity, national origin, disability, protected veteran status, or any other characteristic protected by applicable federal, state, or local law.
   CrowdStrike, Inc. is committed to fair and equitable compensation practices. For applicants in Colorado the salary range is $136,702 - $205,052 + bonus + equity + benefits. A candidate’s salary is determined by various factors including, but not limited to, relevant work experience, skills, and certifications. The salary range may differ in other states.CrowdStrike participates in the E-Verify program. 
  Notice of E-Verify Participation
   Right to Work
 

"
4,cyber security,Information Security Engineer,MIT,"


Information on MIT’s COVID-19 vaccination requirement can be found at the bottom of this posting.  
INFORMATION SECURITY ENGINEER, Sloan School of Management-Technology Services, to work under the guidance of the director and be responsible for supporting the implementation of security and risk management programs across the school. Key functions include providing consulting and assistance for data use agreements and data security processes; ensuring the collection of and reporting on key metrics related to protection of information assets and infrastructure; and collaborating with STS staff and MIT security staff to monitor Sloan security controls, analyze system logs for security events, and gather threat intelligence to assure overall security of the Sloan community, IT assets, and infrastructure.   A full job description is available at https://web.mit.edu/sloan-hr/jobs/STSSecurityEngineerJD.pdf.



Job Requirements REQUIRED: bachelor’s degree in a technology field; five years of relevant experience; knowledge of security issues and remediation techniques; knowledge of critical security controls, preferably NIST Cyber Security Framework; and familiarity with secure coding practices, ethical hacking, and threat modeling. PREFERRED: working knowledge of scripting languages, e.g., PowerShell, Python, and Perl; solid understanding of and experience managing computers and users on a network and understanding how systems interoperate; possession of or willingness to work towards a related security certification (e.g. CISSP, SANS GSEC); familiarity with standard principles of project management; attention to detail; and ability to operate both independently and on a team. Job #20949-9


"
5,cyber security,Junior Network Security Engineer,Kforce,"
RESPONSIBILITIES:
 Kforce has a client that is seeking a Junior Network Security Engineer in Dorchester, MA. 
 

REQUIREMENTS:


1-3 years of relevant experience
Technical communication skills in English/Spanish
Project Management skills
Reporting skills
Knowledge of Checkpoint Firewalls
Cisco Firepower
Cisco ISE technologies
 Tier-1 Troubleshooting skills with all the technologies described below: 
 Installation, Configuration and Maintenance of all the following technologies: 
 

Firewall (Check Point + Cisco)
Proxy (Blue Coat, Cisco IronPort)
IPS (Check Point)
Web Application Firewall (Akamai + F5)
Network Access Control (NAC) technologies
Cisco + Check Point Client & Site to Site VPN

Technical tools:
GUI and CLI for the following technologies:


Checkpoint
Cisco ASA
Cisco ISE
Cisco Firepower
Cisco AnyConnect VPN Client
Cisco CES
Cisco Umbrella Proxy
Bluecoat/Broadcom Proxy
Forcepoint Secure Web Gateway (Proxy)
F5
Akamai WAF (Kona Rules)
Akamai CDN
Akamai Edge DNS

Nice-to-Have Skills/Background:


Large company/enterprise level financial institution
 Kforce is an Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, pregnancy, sexual orientation, gender identity, national origin, age, protected veteran status, or disability status.
"
6,cyber security,Account Manager - Cyber Security,BitSight,"Position Overview:

The Account Manager is responsible for customer retention with emphasis on increasing the annual contract value for each customer within your assigned customer base. We currently have over 2500+ customers worldwide and are proud to call some of the world’s largest organizations customers of our platform. You will be tasked with driving revenue daily, solving complex problems, and fostering relationships with thought leaders and executives within your assigned territory.

Responsibilities:

Develop and execute a territory plan to maximize client retention, increase annual contract
value, and adoption of new BitSight products and services
Establish and build C-Level relationships within designated clients
Accurately forecast all deals monthly / quarterly to leadership
Articulate the business and technical value of all of BitSight’s product offerings
Act as an advisor to the customer with the goal of expanding BitSight’s footprint within the
account
Work cross-functionally with Customer Success to define and drive execution of action
plans to improve and/or optimize the use of BitSight products and services
Maintain current and accurate account and contact information within CRM for all accounts
that have been contacted.

Job Requirements:

Bachelor’s Degree required - preferably in a business discipline
Must have strong territory and contact management skills
Must have strong consultative and solution selling skills
Must have a strong track record of quota attainment
Must have excellent communication skills (written and verbal)
Must be highly organized and capable of managing a high volume of accounts/transaction
Must have high energy level, high degree of integrity, self-motivated, positive attitude"
7,cyber security,Information Technology Security Officer - Hybrid Schedule,Boston Public Health Commission,"

The Boston Public Health Commission (BPHC), the country's oldest health department, is a quasi-department of City of Boston, providing a wide range of health services and programs. Public service and access to quality health care are the cornerstones of our mission - to protect, preserve, and promote the health and well-being of all Boston residents, particularly those who are most vulnerable. The Commission's more than 40 programs are grouped into six bureaus: Child, Adolescent & Family Health; Community Health Initiatives; Homeless Services; Infectious Disease; Recovery Services; and Emergency Medical Services.


 GENERAL FUNCTION:
 The Information Security Officer (ISO) provides the vision and strategies necessary to ensure the confidentiality, integrity, and availability of BPHC electronic information by communicating risk to senior administration, creating and maintaining enforceable policies, supporting processes, and ensuring compliance with regulatory requirements. To support these activities, the ISO coordinates activities with all BPHC departments bureaus and programs, including the evaluation, procurement, deployment of security-related products, develops and coordinates information security awareness programs. Additionally, the ISO ensures a BPHC system-wide disaster recovery and incident response plans are in place.


 ESSENTIAL DUTIES AND RESONSIBLITIES:

Creates information security strategies, both short-term and long-range, in support of the BPHC's goals.
Directs an ongoing, proactive risk assessment program for all new and existing systems and remains familiar with the BPHC's goals and business processes so effective controls can be put in place for those areas presenting the greatest information security risk.
Communicates risks and recommendations to mitigate risks to the senior leadership team by communicating in non-technical, cost/benefit terms so decisions can be made to ensure the security of information systems and information entrusted to the Boston Public Health Commission (BPHC).
Oversees all ongoing activities related to the development, implementation, and maintenance of the BPHC's information security policies and procedures by ensuring these policies and procedures encompass the overall security of electronic information at rest or in motion within the City, State and Federal system and assisting bureaus and programs in process and procedure development, ensuring they are not in conflict with BPHC policies.
Assists BPHC departments, bureaus and programs to ensure regulatory compliance in areas such as the Electronic Payment- Data Security Standards (PCI-DSS) and the Health Insurance Portability and Accountability Act (HIPAA), serves as the HIPAA Security Officer for the Boston Public Health Commission (BPHC), and works with BPHC Privacy Officers to ensure full compliance in securing Protected Health Information (PHI).
Participate in the MBHSR Cyber Security Committee and coordinates the activities of MBHSR Cyber Security so that security decisions do not interrupt business processes while maintaining the confidentiality, integrity, and availability of BPHC information.
Ensures vulnerabilities are managed by directing periodic vulnerability scans of servers connected to BPHC and City of Boston (BoNET) networks.
Develops information security awareness training programs, and works with BPHC departments, bureaus and programs to present them to staff as appropriate.
Ensures sufficient resources are available and allocated to projects by balancing project funding requirements with the assigned budgets, coordinates and tracks project expenditures to ensure resources are used effectively and within budget and provides periodic budget reports to the Chief Information Officer.
Acts proactively to prevent potential disaster situations by ensuring that proper protections are in place, such as intrusion detection and prevention systems, firewalls, and effective physical safeguards, and provides for the availability of computer resources by ensuring a business continuity/disaster recovery plan is in place to offset the effects caused by intentional and unintentional acts.
Evaluates security incidents and determines what response, if any, is needed and coordinates BPHC responses, including technical incident response teams, when sensitive information is breached.
Contributes to a work environment that encourages knowledge of, respect for, and development of skills to engage with those of other cultures or backgrounds.
Remains competent and current through self-directed professional reading, developing professional contacts with colleagues, attending professional development courses, attending training, conferences, and/or courses as directed by the supervisor, and obtaining certifications relevant to job duties.
Contributes to the overall success of the BPHC by performing all other duties and responsibilities as assigned.




Minimum Qualifications



Bachelor's degree required; Master's degree preferred. Significant experience directly related to this position may substitute for all or a portion of the degree requirements.
Professional Certification: (CISSP, GIAC, CISA, CISM, etc.) One of the security certifications is required.
Experience: At least six years of varied information technology experience is required. Applicable experience includes, but is not limited to, computer and networking infrastructure, operating systems, application software development, project management, regulatory compliance, risk management, and providing training. Three years of direct experience in information security-related duties is required. Experience in a public sector or healthcare setting is desired.
Skills: The ability to understand hardware and software systems is required. The ability to maintain confidentiality regarding information processed, stored, or accessed by the systems is required. The ability to manage multiple concurrent projects and to reason analytically is required. The ability to work with and train people possessing differing levels of technical knowledge is required. Effective verbal and written communication skills and proficiency in writing technical specifications are required. The ability to develop knowledge of, respect for, and skills to engage with those of other cultures or backgrounds is required.






Additional Information
City of Boston Residency Required, Any position that requires an advanced degree will be subject to education verification, The Boston Public Health Commission is an EEO Employer and all applicants meeting the minimum requirements are eligible to apply

"
8,cyber security,Cyber Security Analyst,Amwell,"Company Description

Amwell is a leading telehealth platform in the United States and globally, connecting and enabling providers, insurers, patients, and innovators to deliver greater access to more affordable, higher quality care. Amwell believes that digital care delivery will transform healthcare. We offer a single, comprehensive platform to support all telehealth needs from urgent to acute and post-acute care, as well as chronic care management and healthy living. With over a decade of experience, Amwell powers telehealth solutions for over 150 health systems comprised of 2,000 hospitals and 55 health plan partners with over 36,000 employers, covering over 80 million lives.

Brief Overview:

 As a Cyber Security Analyst, the candidate will be assigned to the Security team and will play a critical role within the Amwell Hosting department. The Cyber Security Analyst will work with internal teams and external vendors to integrate security solutions across Amazon Web Services (AWS) and Google Cloud platform (GCP) environments. The Cyber Security Analyst position requires an understanding of cloud services as they relate to the design, deployment and security operations, and an ability to provide technical solutions and operational recommendations while maintaining secure cloud environments

Core Responsibilities:

Execute initiatives to improve cloud security and operational resiliency
Evaluate new cloud services and tools in order to maintain cloud security
Research new technology solutions and provide integration solutions to Amwell's telehealth platforms
Assist development teams with application and infrastructure security initiatives
Architect and implement security solutions to streamline business processes that achieve company goals more effectively and efficiently
Provide guidance to associates for best operational, secure, and compliant practices to ensure that all internal and client data is protected and handled in a secure and compliant manner
Maintain uptime on all systems while making improvements to system features and usability
Perform security incident triage and response (detection, investigations, remediation, and documentation)
Assist with cloud security audits and configuration reviews
Support IAM role mapping to enforce principle of least privilege for development and production environments
Configure third party cloud service integrations to enforce best security practices
Maintain a strong level of communication with constituents regarding status of projects, issues, or initiatives
Support on-call rotations for the Security team
Other duties may be assigned as needed

Qualifications:

Bachelor's Degree or 4+ years of professional information technology experience
3+ years of experience in Linux or Windows Systems Engineering, including 2+ years of project work experience using Amazon Web Services and Google Cloud Platform
3-4 years of relevant work experience required
Strong understanding of least privileged security best practices
Experience with information technology, operations centers, security, and compliance management
Ability to follow procedures and to identify and issues that need improvement
Ability to investigate, understand, and document network security architecture
Ability to communicate effectively across various levels of business
Ability to identify operational and compliant solutions quickly and efficiently

Additional information

Working at Amwell:

Amwell is changing how care is delivered through online and mobile technology. We strive to make the hard work of healthcare look easy. In order to make this a reality, we look for people with a fast-paced, mission-driven mentality. We're a culture that prides itself on quality, efficiency, smarts, initiative, creative thinking, and a strong work ethic.

Our Core Values include One Team, Customer First, and Deliver Awesome. Customer First and Deliver Awesome are all about our product and services and how we strive to serve. As part of One Team, we operate the Amwell Cares program, which brings needed assistance to our communities, whether that be free healthcare for the underserved or for people affected by natural disasters, support for equality, honoring doctors and nurses, or annual Amwell-matched donations to food banks. Amwell aims to be a force for good for our employees, our clients, and our communities.

Amwell cares deeply about and supports Diversity, Equity and Inclusion. These initiatives are highlighted and reflected within our Three DE&I Pillars - our Workplace, our Workforce and our Community.

Amwell is a ""virtual first"" workplace, which means you can work from anywhere, coming together physically for ideation, collaboration and client meetings. We enable our employees with the tools, resources and opportunities to do their jobs effectively wherever they are! Amwell has collaboration spaces in Boston, Tysons Corner, Portland, Woodland Hills, and Seattle.

Unlimited Personal Time Off (Vacation time)
401K match
Competitive healthcare, dental and vision insurance plans
Paid Parental Leave (Maternity and Paternity leave)
Employee Stock Purchase Program
Free access to Amwell's Telehealth Services, SilverCloud and The Clinic by Cleveland Clinic's second opinion program
Free Subscription to the Calm App
Tuition Assistance Program
Pet Insurance"
9,cyber security,Information Security Analyst,Alexander Technology Group,"




     The Alexander Technology Group is working with a local financial institution North of Boston to identify an Information Security Analyst to join their growing team. This Information Security Analyst will help harden security posture across the firm and join an experienced team. This company has multiple projects going on, so the Information Security Analyst must have experience working in the security field to hit the ground running. The security team is targeting another experienced, quick learning security engineer with a proven ability to follow security frameworks and succeed in a fast paced security environment.
    



      Required skills and experience:
    

2+ years of relevant IT/Cyber/Information security experience required
Vulnerability testing 
Risk Management 
Governance and Compliance – They use Archer 
Identify new policies and procedures 
Implements new security practices 
Monitor systems 
Application security testing 
Scripting APIs – Python 
BI Reporting – Domo 
Azure Security 
Must have Windows experience, any Linux experience is nice to have




      If interested and qualified for this Information Security Analyst opportunity, please email your most updated resume to Rich Demling at rdemling@alexandertg.com.
    



      No third party candidates will be considered for this role
    

      This position requires quarterly attendance to their Boston Location 
    

     Unfortunately no relocation assistance can be provided for this position
    



      *MONATG*
    

      #LI-RD1
    

      ATG456
    



"
