,Search,Position,Company,Description
0,engineering,Offshore Wind Operations Engineering Graduate,Avangrid,"Avangrid Renewables, a subsidiary of Avangrid, Inc. (NYSE: AGR), is a leading developer, owner and operator of renewable energy facilities in the United States with an eight-gigawatt portfolio of onshore wind and solar projects across 22 states. Avangrid Renewables offshore wind business is pioneering this new industry with a development pipeline of five gigawatts off the East Coast. Our offshore portfolio consists of the first-in-the-nation joint venture project Vineyard Wind, which will deliver 800 MW of clean energy into Massachusetts starting in 2023; Park City Wind (804 MW) and Commonwealth Wind (1,232 MW) projects to serve the states of Connecticut and Massachusetts respectively; and Kitty Hawk Offshore Wind that has the potential to deliver 2,500 MW of clean energy into Virginia and North Carolina.
We aspire to be the employer of choice by providing purposeful and challenging work revolutionizing the renewable energy industry in the United States. This role will be part of a team developing, designing, constructing and operating large scale offshore wind projects which will provide affordable, clean energy and will have a transformational impact on local communities. Avangrid Renewables offshore business is located in Boston, Massachusetts.

Avangrid is part of the IBERDROLA Group, a global energy pioneer with the largest renewable asset base of any company in the world. Avangrid employs approximately 7,000 people and has been recognized by Forbes and Just Capital as one of the 2021 JUST 100 companies a list of Americas best corporate citizens and was ranked number one within the utility sector for its commitment to the environment and the communities it serves. The company supports the U.N.s Sustainable Development Goals and was named among the Worlds Most Ethical Companies in 2021 for the third consecutive year by the Ethisphere Institute.

Job Summary:
As an Offshore Wind OM Graduate, you will participate in a 2-year rotational program which will provide you a broad view of the offshore wind business, giving you the opportunity to advance your career at Avangrid Renewables. In the program, you will participate in job rotations in OM Offshore Engineering, Project Services Eng. (WTG), Construction (WTG), and OM - Project Management.

Rotational assignments in the 2-year program may include:

OM Offshore Engineering, supporting various projects and initiatives
Project Services Engineering (Wind Turbine Package), assisting with tasks associated with the Turbine Supply Agreement and Service and Maintenance Agreement
Construction (Wind Turbine Construction), supporting Offshore wind farm construction and commissioning
OM Field Operations - Project Management assisting with various projects and initiatives

Requirements:
Education and Experience


BS in Mechanical Engineering (or equivalent discipline)

Skills and Abilities:

Self-starting attitude and able and able to work independently
Possession of comprehensive writing skills including creation of reports, work procedures and other documentation
Ability to solve practical problems and deal with a variety of variables in situations where only limited standardization exists
Able to assess project responsibilities and requirements
Ability to research new topics and find solutions to problems
Data analysis and interpretation skills
Awareness of business fundamentals
Good verbal and written skills
Ability to work in a team and good interpersonal skills
Good problem-solving skills and creativity
Advanced computer skills utilizing word processing, spreadsheets, email, computer programming, CAD, data management, and databases

About the Company

AVANGRID, Inc. (NYSE: AGR) aspires to be the leading sustainable energy company in the United States. Headquartered in Orange, CT with approximately $39 billion in assets and operations in 24 U.S. states, AVANGRID has two primary lines of business: Avangrid Networks and Avangrid Renewables. Avangrid Networks owns eight electric and natural gas utilities, serving more than 3.3 million customers in New York and New England. Avangrid Renewables owns and operates a portfolio of renewable energy generation facilities across the United States. AVANGRID employs approximately 7,000 people and has been recognized by Forbes and Just Capital as one of the 2021 JUST 100 companies - a list of America's best corporate citizens - and was ranked number one within the utility sector for its commitment to the environment and the communities it serves. The company supports the U.N.s Sustainable Development Goals and was named among the Worlds Most Ethical Companies in 2021 for the third consecutive year by the Ethisphere Institute. For more information, visit www.avangrid.com

This job has been posted by TalentBoost on behalf of Avangrid. TalentBoost is committed to the fundamental principle of equal opportunity and equal treatment for every prospective and current employee. It is the policy of TalentBoost not to discriminate based on race, color, national or ethnic origin, ancestry, age, religion, creed, disability, sex and gender, sexual orientation, gender identity and/or expression, military or veteran status, or any other characteristic protected under applicable federal, state or local law.

#TBAvangridGrads"
1,engineering,Sports Research Engineer,New Balance,"

Who We Are:
 Since 1906, New Balance has empowered people through sport and craftsmanship to create positive change in communities around the world. We innovate fearlessly, guided by our core values and driven by the belief that conventions were meant to be challenged. We foster a culture in which every associate feels welcomed and respected, where leaders and creatives are inspired to shape the world of tomorrow by taking bold action today. At New Balance, We Got Now.

 Summary:
 The New Balance Sports Research Team is a multidisciplinary group of innovators focused on pushing the boundaries of human performance through scientific exploration. We deliver authentic, performance focused insights to New Balance teams focused on creating best in class products and experiences. We utilize our brand new, state of the art 17,000 sq foot research space, locating within a functioning track and field center, consisting of running tracks, turf surfaces, court surfaces, body scanners, environmental chamber, high speed force treadmills, and much more.

 Who We Are Looking For

 We are seeking a Researcher who loves all aspects of human movement to help shape the vision, strategy, and implementation of our performance research portfolio. The researcher should have experience and get satisfaction from working with athletes at all levels. A desire to learn new things and understand and control equipment is required.

 Primary Accountabilities -The Researcher Will

 Execute and contribute to the SRL vision, strategy, and implementation of our foundational research portfolio.
 Creative scientist evaluating new technologies, methods, and analysis techniques.
 Interpret and present insights, internally and externally, while working with various teams focused on performance products and experiences for our consumers.
 Continually seek new pertinent research in the academic literature.
 Contribute to our entrepreneurial and innovative culture.


 A Successful Candidate Will Demonstrate at An Expert Level

 Help shape and execute the SRL research roadmap that will help New Balance push the boundaries of athletic performance.
 Independently conduct/interpret novel research focused on human performance
 Evaluate a wide variety of human performance data to draw holistic insights (biomechanics, physiology, motor control, mechanical testing, etc.).
 Use knowledge and creativity to uncover novel problems and solutions.
 Ability to seek out and/or create new technologies and/or testing methods.
 Educate and mentors staff on equipment, methods, analysis and interpretation techniques.
 Identify key research partners around the world.
 Independently operates equipment including motion capture, force plates, pressure systems, etc.
 Strong organizational and time management skills with ability to work independently on many projects simultaneously.


 What You Bring

 Master’s Degree in human movement science, engineering or related field.
 Ability to utilize biomechanics, kinesiology, motor control, engineering, biomedical engineering, ergonomics information to form holistic insights.
 Proven track record conduction scientific research
 Experience applying evidence-based research to product is desirable.
 Excellent oral and written communication skills.
 Ability to do physical labor – lift up to 50 lbs. on a regular basis.
 Some local and national travel may be required (up to 5%).


 Our Benefits:
 Our products are only as good as the people we hire, so we make sure to hire the best and treat them accordingly. New Balance offers a comprehensive traditional benefits package including three options for medical insurance as well as dental, vision, life insurance and 401K. We also proudly offer a slate of more nontraditional perks – opportunities like online learning and development courses, tuition reimbursement, $100 monthly student loan support and various mentorship programs – that encourage our associates to grow personally as they develop professionally. You’ll also enjoy a yearly $1,000 lifestyle reimbursement, 4 weeks of vacations, 12 holidays and generous parental leave, because work-life balance is more than just a buzzword – it’s part of our culture.
 Learn more about our Benefits

 Flexible Work Schedule:
 New Balance is committed to creating a culture that allows our associates to do their best work. Our corporate work-from-home policy does not mandate an arbitrary number of days in-office. Instead, we’ve designed a flexible hybrid model that empowers individual teams by letting the type of work dictate where it will most effectively be performed. We are capitalizing on this unique opportunity to evolve how we work based on efficiency, productivity, and the well-being of our associates.

 Equal Opportunity Employer:
 New Balance provides equal opportunities for all current and prospective associates and takes affirmative action to ensure that employment, training, compensation, transfer, promotion and other terms, conditions and privileges of employment are provided without regard to race, color, religion, national origin, sex, sexual orientation, gender identity, age, handicap, genetic information and/or status as an Armed Forces service medal veteran, recently separated veteran, qualified disabled veteran or other protected veteran.


"
2,engineering,"Project Engineering Designer, Mechanical",EYP,"

Responsible for assisting in the production of thorough and concise computer-generated engineering drawings. Under supervision, prepare layouts of engineering systems, perform calculations, and produce specifications.
Essential Duties:

Under supervision, coordinate and prepare schematic design, design development, and construction documents
Assist in spatial coordination with architecture and other engineering systems
Process contractor submittals
Perform on site condition surveys
Produce quality work
Use technology and methodologies to create innovative approaches to building design
Consistently strive to improve technical quality of work product by keeping abreast of new technologies, changes in building codes, and advances in the industry
Work collaboratively in a cross-discipline environment to produce integrated project documents, and insure integrated design approaches & solutions


"
3,engineering,Distribution Construction Standards Engineer,Leidos,"

Description 

Job Description:

 Pay Range: Pay Range $65,000.00 - $100,000.00 - $135,000.00
 
"
4,engineering,Environmental Graduate,Avangrid,"Avangrid Renewables, a subsidiary of Avangrid, Inc. (NYSE: AGR), is a leading developer, owner and operator of renewable energy facilities in the United States with an eight-gigawatt portfolio of onshore wind and solar projects across 22 states. Avangrid Renewables offshore wind business is pioneering this new industry with a development pipeline of five gigawatts off the East Coast. Our offshore portfolio consists of the first-in-the-nation joint venture project Vineyard Wind, which will deliver 800 MW of clean energy into Massachusetts starting in 2023; Park City Wind (804 MW) and Commonwealth Wind (1,232 MW) projects to serve the states of Connecticut and Massachusetts respectively; and Kitty Hawk Offshore Wind that has the potential to deliver 2,500 MW of clean energy into Virginia and North Carolina.

We aspire to be the employer of choice by providing purposeful and challenging work revolutionizing the renewable energy industry in the United States. This role will be part of a team developing, designing, constructing and operating large scale offshore wind projects which will provide affordable, clean energy and will have a transformational impact on local communities. Avangrid Renewables offshore business is located in Boston, Massachusetts.

Avangrid is part of the IBERDROLA Group, a global energy pioneer with the largest renewable asset base of any company in the world. Avangrid employs approximately 7,000 people and has been recognized by Forbes and Just Capital as one of the 2021 JUST 100 companies a list of Americas best corporate citizens and was ranked number one within the utility sector for its commitment to the environment and the communities it serves. The company supports the U.N.s Sustainable Development Goals and was named among the Worlds Most Ethical Companies in 2021 for the third consecutive year by the Ethisphere Institute.

Job Responsibilities:
As an Environmental Graduate, you will participate in a 2-year rotational program which will provide you a broad view of the offshore wind business, giving you the opportunity to advance your career at Avangrid Renewables. In the program, you will participate in job rotations across Environment, Development and Construction, providing an opportunity to work with teams on environmental management systems, sustainability, marine science, permitting, stakeholder outreach, workforce development and construction.

Rotation can be tailored to fit candidate background and career interests, but envisioned to include:

QHSE


Developing and maintaining regulatory and permitting compliance registers
Working with contractors to ensure alignment with corporate QHSE standards and requirements

Sustainability


Researching and developing strategies to meet bold corporate targets for carbon reduction, biodiversity, and circular economy
Providing inputs for corporate sustainability reporting

Development


Developing outreach materials and engagement tracking
Researching and developing policy briefs

Construction


Working with package managers to integrate permit and regulatory requirements into scopes of work
Interface across functions to ensure key risks are managed

Requirements:
Education Experience:

Required Education: Recent graduate from an accredited Bachelor's or Masters degree (preferred) program in Environmental Science, Biology, Marine Biology, Ornithology, Wildlife and Fisheries Conservation, Fisheries Science, Sustainability, Environmental Engineering, Environmental Management, MBA, or similar
Knowledge of ISO 14001, sustainability reporting frameworks, US Offshore Wind regulatory framework, and offshore wind a plus
Must be positive, hardworking, versatile, team player, and passionate about decarbonization
Strong working knowledge of the Microsoft Office Suite required

About the Company

AVANGRID, Inc. (NYSE: AGR) aspires to be the leading sustainable energy company in the United States. Headquartered in Orange, CT with approximately $39 billion in assets and operations in 24 U.S. states, AVANGRID has two primary lines of business: Avangrid Networks and Avangrid Renewables. Avangrid Networks owns eight electric and natural gas utilities, serving more than 3.3 million customers in New York and New England. Avangrid Renewables owns and operates a portfolio of renewable energy generation facilities across the United States. AVANGRID employs approximately 7,000 people and has been recognized by Forbes and Just Capital as one of the 2021 JUST 100 companies - a list of America's best corporate citizens - and was ranked number one within the utility sector for its commitment to the environment and the communities it serves. The company supports the U.N.s Sustainable Development Goals and was named among the Worlds Most Ethical Companies in 2021 for the third consecutive year by the Ethisphere Institute. For more information, visit www.avangrid.com

This job has been posted by TalentBoost on behalf of Avangrid. TalentBoost is committed to the fundamental principle of equal opportunity and equal treatment for every prospective and current employee. It is the policy of TalentBoost not to discriminate based on race, color, national or ethnic origin, ancestry, age, religion, creed, disability, sex and gender, sexual orientation, gender identity and/or expression, military or veteran status, or any other characteristic protected under applicable federal, state or local law.

#TBAvangridGrads"
5,engineering,Medical Device Research Engineer I,Boston Children's Hospital,"




     61084BR
    



     Neurology
    


Job Posting Description

     The Translational Neuroscience Center (TNC) at Boston Children’s Hospital is dedicated to furthering our understanding of brain and cognitive development in children diagnosed with or at risk for various neurodevelopmental disorders. Our multidisciplinary team of researchers and clinicians brings together experts from a wide range of fields, including neuroscience, signal processing, psychology, computer science, child neurology and developmental pediatrics. Through this collaborative approach, we aim to drive the science forward as rapidly as possible and translate what we learn into earlier identification, improved therapies, and better outcomes for children and families affected by neurodevelopmental disorders. Boston Children’s Hospital is ranked as the top Children’s Hospital in the United States and is committed research and to building a diverse workforce. Applications from women, racial and ethnic minorities are strongly encouraged.
     

Responsibilities:

 In the TNC Human Neurophysiology Core, play a primary role in experimental design and programming, data collection, data management, equipment setup and maintenance, and signal processing for analysis of results.
 Will include working with electroencephalography (EEG), event related potentials (ERP), eye tracking, transcranial magnetic stimulation (TMS), and related data for research studies.

 Requirements:

 A bachelor’s degree in biomedical engineering, computer science, psychology, cognitive science, neuroscience, or related field
 Knowledge of electrophysiological (EEG, ERP, TMS) and/or eye tracking measures recorded from human subjects and/or animal models.
 Strong coding skills (preferably including MATLAB and Python experience)
 Background and experience in signal processing and multi-modal analysis.
 Previous experience working in a research setting (preferably paid professional experience, but may include undergraduate research experiences)
 High level of motivation; ability to work independently and as part of a team; excellent communication, organization, and attention to detail

 Preferred experience includes:

 Experience in using/troubleshooting EEG, ERP, TMS, and/or eye tracking hardware and software (e.g., Presentation, ePrime, Netstation, BrainVision, EyeLink)
 Previous experience working with children with autism spectrum disorder or other neurodevelopmental disorders
 Implementing machine learning (supervised and unsupervised) algorithms.
 Ability to assist with grant preparation, publications, presentations and/or applications to an Institutional Review Board.
 Boston Children’s Hospital offers competitive compensation and unmatched benefits, including a rotating days/evenings and week-end schedule, affordable health, vision and dental insurance, generous levels of time off, 403(b) Retirement Savings plan, Pension, Tuition Reimbursement, cell phone plan discounts and discounted rates on T-passes (50% off). Discover your best.
    


Status

     Full-Time
    


Regular, Temporary, Per Diem

     Regular 
    


Standard Hours per Week

     40 
    


Office/Site Location

     Boston
    


Job Category

     Research
    




"
6,engineering,Materials Characterization Engineer,Form Energy,"
Form Energy is a team of passionate people tackling the challenge of climate change through transformationally low cost energy storage. Our team members are active learners who enjoy working on tough technology problems in massive markets and embody our values of humanity, excellence and creativity. The company is backed by a diverse set of committed investors and we have raised over $360M to date.
Role DescriptionWe are looking for a Materials Characterization Engineer to support the development of our core technology by quantifying and describing the structure and function of materials within our battery systems. In this hands-on role, you will collaborate with our Technical Operations team to prepare and measure samples that advance our understanding of the physical phenomena behind long-duration energy storage. To achieve success in this role, candidates should have experience working in laboratory settings, executing standard operating procedures, and maintaining organized work spaces.
What You'll Do: 

Develop standard operating procedures (SOPs) for preparing samples and executing characterization measurements, including but not limited to metallurgical microscopy, crystalline powder phase identification and pore size and shape
Execute statistical analysis on developed methods to ensure repeatability and reliability
Implement various process improvements for existing standard analytics protocols
Evaluate, flag, and help troubleshoot atypical or anomalous analytical results to Technology Development department
Track sample status using a cloud-based organizational tool
Train Technicians on new SOPs

What You'll Bring: 

B.S. or M.S. in Materials Science or a related field
Experience developing analytical methods based on first principles
Experience with a subset of instruments including but not limited to SEM, XRD, BET, porosimetry, optical microscopy and pycnometry preferred
Experience with metallurgical sample preparation such as mounting and polishing preferred
Additional experience with wet chemistry sample handling such as glovebox and fume hood preferred
Experience independently creating new procedures for preparing and analyzing materials preferred
Experience using cloud based organizational tools
Strong communication skills within a group of peers and broader organization

Form Energy is committed to equitable compensation and we offer a generous benefits package to make sure you have the support you need. We cover 100% of employee premiums and 80% of dependent premiums for medical, dental, and vision insurance for full time employees. We offer a flexible Paid Time Off program and every employee, regardless of gender identity or expression, is eligible for 12 weeks of paid parental bonding leave. We offer a 401k and all employees are granted stock options. A full listing of our benefits is available on our careers page.
At Form Energy, we are working toward a 100% renewable energy future for everyone in the world. We are committed to creating an inclusive environment for all our employees and are seeking to build a team that reflects the diversity of the people we hope to serve with our revolutionary products. Form Energy is proud to be an equal opportunity employer.
Job Type: Full-time
Benefits:

401(k)
401(k) matching
Dental insurance
Employee assistance program
Employee discount
Flexible schedule
Flexible spending account
Health insurance
Health savings account
Life insurance
Paid time off
Parental leave
Referral program
Relocation assistance
Retirement plan
Tuition reimbursement
Vision insurance

Schedule:

Monday to Friday

Work Location: One location
"
7,engineering,Engineering Service Mgr-Maintenance (Attractions/Plants/Manu...,"Parks, Experiences and Products","As an Engineering Service Manager your motto will be like all others that have worked on our team: If it's moving, it's ours! You will lead a maintenance team performing corrective and preventative maintenance on one of our world-renowned attractions, transportation assets such as busses/watercraft, or manufacturing equipment in one of our facilities. There will be administration work like scheduling, payroll, and organizing inspections but really the focus will be on the professionals you lead and the Guests who come to Disney to have the time of their lives. Because Engineering Services Managers oversee both mechanical and electrical trades, you will need knowledge of both disciplines to lead up to fifty craft workers, but more importantly, you must know how to instill a can-do mindset in your team.

You will report to a Manager- Engineering/Shop Services and you will lead up to 50 Union Craftworkers.

Responsibilities :

You Will
Keep everything humming so our guests can enjoy the Magic daily.
Help your team get to the root of a problem by reverse-engineering and finding a solution.
Troubleshoot electronics, PLCs, hydraulics, pneumatics, audio and video systems, drive systems and DC/AC Motors from all eras.
Encourage your team to collaborate, share ideas and reach an agreement to move forward.
Put your skills to use by creating concise incident reports that can be referenced by your peers and leaders.
Manage union contracts, balance staffing among the shifts, schedule vacations and monitor payroll.
Walt Disney World is essentially your office, so consider this an active role that includes bending, ducking, crawling through tight, dark spaces and walking up to five miles per shift.

Basic Qualifications :

You Will Have
5+ years experience in a maintenance-related field including direct experience in an industrial, plant, manufacturing, theme park or transportation maintenance environment.
3+ years of leadership experience in a maintenance environment.
Expertise with electrical and electronic systems function and repair.
Understanding of mechanical, hydraulic and pneumatic systems and subassemblies, to include those that might be used in attractions, watercraft, busses, and manufacturing;
Well-developed tactics to balance time.
Genuine interest in mentoring others, and with forming partnerships with your team and leaders.
Background in customer-service and comfort in a ""team"" orientation.
Comfort with working outdoors in all weather conditions, and handling the physical rigors of the job.
Willing to work evenings, holidays, weekends and varying shifts including overnight shifts.

Preferred Qualifications:

Financial management and budgeting skills.
Familiarity with SAP and maintenance reporting/scheduling systems such as Maximo.

Required Education :

A Bachelor of Science degree or equivalent experience


Preferred Education :

Bachelor's degree in STEM, Electrical or Mechanical Engineering.


Additional Information :

Benefits and Perks: Disney offers a rewards package to help you live your best life. This includes health and savings benefits, educational opportunities and special extras that only Disney can provide. Learn more about our benefits and perks at https://jobs.disneycareers.com/benefits.

#LI-EI1
#DPEPFLA
safety22"
8,engineering,Engineering Technician,"Vanu, Inc.","
Vanu Inc, a leader in Software Defined Radio communications systems, has an opportunity for an Engineering Technician to support the delivery of wireless communications products to a global market, working in both product development and product qualification. Responsibilities include test processes, design changes to improve quality, failure analysis, and product repair. Candidate should have an Associates Degree or equivalent technical experience, be proficient with test and measurement equipment, and have strong board-level HW/SW debug skills. Experience with battery-backed solar power systems or RF devices is a plus.
Skills:

Basic electrical theory and familiarity with complex test equipment
Electronic soldering and prototype construction capability
Ability to debug HW/SW system interactions
Computer skills with Excel and PowerPoint are a must, Linux command-line is desired
Experience with RF test equipment or RF propagation is a plus
Experience with battery charging systems or solar power is a plus
Must be able to operate independently in a fast-paced environment, and prioritize tasks to meet aggressive schedules

*
Job Type: Full-time
Pay: $70,000.00 - $100,000.00 per year
Benefits:

401(k)
Dental insurance
Flexible schedule
Health insurance
Health savings account
Life insurance
Paid time off
Parental leave

Schedule:

Monday to Friday

Education:

Associate (Preferred)

Experience:

engineering development: 3 years (Preferred)

Work Location: One location
"
9,engineering,Mechanical Engineer,MagiQ Technologies,"Skills required include mechanical packaging of electronic devices designed for hash environments. Design of mechanisms that have the ability to resist water, sand, dust in a harsh, high-vibration environment. Dynamic modeling of small mass structures. Experience designing electrical connectors, experience in high durability connector and ejector design, and advance degree would be pluses.

Job Code: ME-0909"
