,Search,Position,Company,Description
0,healthcare,Nursing Assistant-FREE HEALTHCARE! TUITION REIMBURSEMENT!,Boston Medical Center,"
Lets talk today! We are excited to speak with Nursing Assistants- no hospital experience necessary, and certification not required. Excellent training available to any motivated, caring person who has already completed a Nursing Assistant program . We will teach you how to care for patients in the hospital setting, and we encourage your professional growth and development in any way you wish! Many of our Nursing Assistants take advantage of excellent tuition reimbursement to become nurses at BMC! Become an employee of BMC and Refer a friend as well, and you could be eligible for up to $7500 Referral Bonus reward for nursing candidates, or $1000 Bonus Reward for Nursing Assistants! It pays to work for BMC- great pay rates, FREE HEALTHCARE for your AND your family, and support for career growth! You must have already received a certificate of completion from a Nursing Assistant training program in order to qualify. 
See our Nursing Assistant Amanda talk about her job at
https://jobs.bmc.org/nursing-careers-that-empower-you
Job Types: Full-time, Part-time
Pay: $17.00 - $23.00 per hour
Benefits:

401(k)
401(k) matching
Dental insurance
Disability insurance
Employee assistance program
Employee discount
Flexible spending account
Health insurance
Health savings account
Life insurance
Paid sick time
Paid time off
Paid training
Referral program
Retirement plan
Tuition reimbursement
Vision insurance

Medical Specialty:

Cardiology
Critical & Intensive Care
Medical-Surgical
Surgery

Physical Setting:

Hospital

Schedule:

8 hour shift
Rotating weekends

Supplemental Pay:

Bonus pay
Differential pay
Overtime pay

Application Question(s):

Have you completed a Nursing Assistant training program with Red Cross or other organization?

Work Location: One location
"
1,healthcare,Patient Care Technician,Green Valley Medical Clinic,"
Green Valley Medical Clinic is breaking new ground in the treatment of erectile dysfunction. We believe that sexual wellness is a crucial aspect of mens' overall health, and Green Valley Medical Clinic treats ED using the breakthrough new technology of acoustic shockwave therapy.
We're seeking patient care technicians to perform basic clinic tasks and treatments. Medical experience is preferred but not required. Start or continue your career in the medical industry and join a company with plenty of room for growth!
If you are hard working, ethical and have a passion for helping others, we want you to join our fast growing team!
https://www.greenvalleymedicalclinic.com
Job Type: Full-time
Pay: $18.00 - $20.00 per hour
Physical Setting:

Clinic

Schedule:

8 hour shift
Monday to Friday
Weekend availability

Education:

High school or equivalent (Preferred)

Work Location: One location
"
2,healthcare,Kennel Attendant,Neponset Animal Hospital,"
We are looking to hire a kennel attendant at our Boston location.
Kennel attendants provide daily care for the dogs/cats that are boarded in their kennel.
They are involved with supervising during play time, cleaning cages & runs, bathing, exercising, feeding, and monitoring the behavior of boarded dogs/cats.
They also interact with clients as they pick up and drop off their dogs.
Job Type: Full-time
Experience:

Animal care: 1 year (Preferred)

Work Location:

One location

"
3,healthcare,Clinical Assistant (FT & PT shifts available),Boston Children's Hospital,"




     62332BR
    


Job Posting Description

     Boston Children's Hospital has full time and part time 
     Clinical Assistant openings across the hospital for both ambulatory and inpatient settings. Day/Evening/Night and weekend shifts are available.
     

This Clinical Assistant will be responsible for:

 Under regular supervision and following established procedures and instructions, providing basic direct care to patients as delegated by a Registered Nurse, in a variety of settings including the surgical, medical, oncology and neuroscience inpatient units.
 Assisting patients with feeding and hygiene, obtaining, measuring and recording routine information such as temperature, pulse and blood pressure, and/or performing other related duties according to specific needs of unit.
 Transporting patients, supplies and equipment as needed.
 Identifying and reporting unusual findings or changes in patient condition to Registered Nurse.

 To qualify, you must have:

 1 year Clinical Assistant experience or equivalent.
 Experience working with children strongly preferred.
 A HS Diploma or equivalent.
 Good communication skills and the ability to work on a team.
 24, 32, 36 & 40 hour per week positions are available. Must be able to work 8 or 12 hour shifts.
     
 Boston Children’s Hospital offers competitive compensation and unmatched benefits, including affordable health, vision and dental insurance, generous levels of time off, 403(b) Retirement Savings plan, Pension, Tuition Reimbursement, cell phone plan discounts and discounted rates on T-passes (50% off). Discover your best.
     

LI
 #CB
    


Status

     Full-Time
    


Office/Site Location

     Boston
    


Job Category

     Clinical
    




"
4,healthcare,Receptionist Dental Office,Seaport Dental Associates,"
Dental office in South Boston, in search of a full time (35 hours per week) dental receptionist to join our fun, energetic and hard working team. Interested candidates should be professional, friendly, responsible, reliable team players with excellent people skills, the ability to multi-task and must have positive energy. Prior dental experience is required. Responsibilities will include but are not limited to:

Check in and check out patients.
Verifying dental insurance.
Calculating and collecting copays for visits.
Answer phones.
Scheduling and confirming appointments.
Ensure smooth day-to-day operations.

If you feel you meet the above criteria please forward your resume. We look forward to meeting you!!
Job Type: Full-time
Pay: $15.00 - $25.00 per hour
Benefits:

401(k) matching
Health insurance
Paid time off

Schedule:

10 hour shift
8 hour shift

Education:

High school or equivalent (Preferred)

Experience:

Dental: 1 year (Required)

Work Location: One location
"
5,healthcare,"Patient Coordinator, Office Assistant",JL Plastic Surgery,"
We have a small plastic surgery practice located in Back Bay, Boston. We offer a broad range of services including cosmetic surgery, nonsurgical cosmetic procedures, reconstructive surgery, and injectables such as Botox and filler.
We are looking for additional help to run our day to day. These responsibilities include:
-Communicating with current and prospective patients, answering questions, scheduling appointments
-Providing formal price quotes and scheduling surgery/appointments
-Collecting payments and using an electronic medical record
-Answering the phone
-Managing social media accounts
-Helping with health insurance preauthorization and billing paperwork
-Ordering supplies/products
-General office responsibilities
-Helping with various marketing campaigns
-Potentially other responsibilities as the need arises with respect to our practice
We are looking for someone who is:
-Friendly and energetic
-Customer service oriented
-Effective at communication
-Comfortable with basic computer skills and Windows PC
-Able to multitask and organized
Bachelors degree required.
Interest in beauty or aesthetics is a plus.
$22-25 per hour, full time position, Monday-Friday
Paid time off
Discounted products, free treatments.
401K with matching after qualifying time period
Job Type: Full-time
Pay: $22.00 - $25.00 per hour
Benefits:

401(k)
401(k) matching
Employee discount
Paid time off
Retirement plan

Schedule:

8 hour shift
Day shift
Monday to Friday

Work Location: One location
"
6,healthcare,Newborn Hearing Screener,Demant,"Overview:

Are you interested in embarking on a very important mission?
Hearing loss is one of the most common birth defects in the US. Undetected hearing loss can lead to delays in speech and language development. Your role as a Newborn Hearing Screener will ensure hearing impaired infants are identified at the time of birth and receive the appropriate care.
You will receive extensive training which will allow you to have thorough knowledge of procedures and instruments!
The Newborn Hearing Screening Technician performs mandated hearing screening tests for newborn infants, provides education to parents pertaining to the relevance of hearing screening and early intervention, and records patient information and hearing screen results. The screener is responsible to conduct these hearing screening tests prior to patient discharge supporting patient care goals and objectives. This part-time position is based in a busy Newborn Nursery / NICU hospital setting.
Responsibilities:
Responsible to conduct newborn hearing screenings on all infants in the nursery and NICU prior to discharge from the hospital, coordinates post-discharge follow up care as needed utilizing appropriate procedures and computer technology.
Works directly with nursing staff, patients, and parents to communicate relevance of hearing screening and early intervention to support positive outcome
Will analyze and communicate responses to problem situations in a manner consistent with the company and customer’s needs.
Maintain and use hearing screening equipment, assist with database management.
Interact as needed with various hospital departments; Performs duties in accordance with the policies and procedures of HSA, hospitals, and respective departments.
Uphold the code of conduct and compliance policies.
Upon completion of HSA/Hospital training, has thorough knowledge of procedural variables and instrumentation in the application of Transient Emissions and Automated Auditory Brainstem Response (AABR) testing.
Qualifications:
High School Diploma or General Education Degree (GED) required.
One (1) or more years of healthcare or childcare training/experience, or related college curriculum is a plus.
Possess basic computer skills.
Ability to attend all company provided training.
Willingness and ability to learn and operate hearing screening equipment.
Must be able to move or lift up to 15 pounds.
Employment is contingent upon the following:
Clear seven (7) year background check
Verifiable prior employment including title and dates of hire
Criminal history
Education
Must pass Drug Test
Bloodwork required to verify immunization Titers
Vaccinations as required by hospitals, including Flu Vaccine
Hearing Screening Associates is a full-service company that offers an all-inclusive service for screening the hearing of newborn infants. The concept covers everything from personnel and testing to equipment to reporting and billing.
Hearing Screening Associates is an Equal Opportunity / Affirmative Action employer, all qualified applicants will receive consideration for employment without regard to race, color, religion, sexual orientation, sex, national origin, disability, or protected veteran status.
Hearing Screening Associates (HSA) is part of the Demant Group. Demant is a world-leading hearing healthcare group that for more than a century has played a vital part in developing innovative technologies and know-how to help improve people’s hearing and health. In every aspect, from hearing devices, hearing implants and diagnostic equipment to intelligent audio solutions and hearing care all over the world, Demant is active and engaged.
The Demant Group operates in a global market with companies in more than 30 countries, employs more than 14,500 staff and generates annual revenue of DKK 14 billion (approx. 2.1 billion USD). Our products are sold in more than 130 countries."
7,healthcare,Office Coordinator,Steward Health Care,"
Summary: Under the supervision of the Director, the Office Coordinator serves as liaison between the physicians, Director and the office support staff. The Office Coordinator is responsible for assisting the Director with all day-to-day operational, administrative, and fiscal aspects of the physicians' offices.
Responsibilities: 

Ensures efficiency and productivity with respect to administrative and clinical functions of the office. Daily monitoring of physician and patient activity in the practice; allocates resources to necessary tasks and set priorities. Reports any problems in this area to the Practice Manager immediately.
Responsible for accurate registration, scheduling, confirmation, and billing functions
Answers clinic phones and sends messages to clinic staff/providers as appropriate
Makes recommendations for improvements/enhancements to registration, scheduling, and billing procedures.
Manages the oversight and audit of encounter forms for completeness, accuracy, batching, and prompt distribution to billing.
Responsible for daily oversight and reconciliation of co-payment and cash collection.
Assists Practice Manager with payroll and payment of Invoices.
Triages patient complaints for the office, working with appropriate management personnel to resolve issues that arise.
Responsible for monitoring missing charge reports.
Oversees ordering all necessary supplies and equipment for the practice.
Procurement process including; payment requests, on-line supply ordering, and reconciliation of AP payments.
Under the direction of the Practice Manager, responsible for the training and on-board processing of all new employees.
Assurance that all ""Best Practice"" initiatives are followed.
Maintains patient confidentiality according to Steward Medical Group and hospital standards.
Strong orientation to patient care in accordance with the Faculty Practice Plan's values.
Assists with front desk responsibilities if necessary: answering phones and sending messages to clinic staff/providers as appropriate.
In conjunction with practice manager, orient new staff as appropriate for their roles in the practice. As well as train staff as needed.
All other duties as assigned.

Qualifications: 

Associates or bachelor’s degree preferred, but not required. Relevant work experience may substitute for degree requirements.
Must have 2-3 years of experience in a healthcare environment.
Must have excellent written and verbal communication skills.
Must be able to multitask and prioritize daily activities.
Must have a thorough understanding of billing, information systems, and knowledge of medical terminology and HIPAA requirements.
Experience with electronic medical record systems (Athena preferred).
Proficiency with computers and window-based products.
Knowledge of insurance coverage systems, including but not limited to co-payments, referrals, HMO, PPO and capitated products, preferred.
Ability to analyze operational issues and solve them creatively.

Steward Health Care is an Equal Employment Opportunity (EEO) employer, Steward Health Care does not discriminate on the grounds of race, color, religion, sex, national origin, age, disability, veteran status, sexual orientation, gender identity, and or expression or any other non-job-related characteristic.
Additional Information
Steward Medical Group is taking additional necessary preparations to ensure patients can receive compassionate care in safe, carefully managed environment – with confidence and without fear.Our Safe and Ready program consists of a rigorous [three-point] standard ensuring patient safety, confidence and convenience.

Any COVID-19 related care takes place in designated areas away from other patients and their families.
A stringent cleaning policy has been implemented throughout our facilities.
A strictly controlled visitor and mask policy is required for patient and colleague safety.

About Steward Health Care System: Steward Health Care’s physician-led model was created to provide patient’s access to the highest-quality care at a sustainable cost, providing personalized, and coordinated ongoing medical services that positively impact patients’ physical, emotional, and mental well-being.Founded in 2010, Steward Health Care is the nation’s largest accountable care organization (ACO), with more than 5,500 providers and 43,000 health care professionals who care for 12.3 million patients a year through its network of hospitals, urgent care centers, skilled nursing facilities, and behavioral health services. Steward received a perfect 100% quality rating by the Center for Medicare and Medicaid Service’s (CMS) Medicare Shared Savings Program (MSSP) in 2020. Based in Dallas, Steward is the largest private, physician-led health care network and currently operates 39 hospitals across Arizona, Arkansas, Florida, Louisiana, Massachusetts, Ohio, Pennsylvania, Texas, and Utah. For more information, visit www.steward.org.
Location: Steward Medical Group · 1101.68108 CMGE Orthopedic Surg UnalSchedule: Full Time, Day Shift, Monday - Friday
Job Type: Full-time
"
8,healthcare,Practice Assistant,Beth Israel Deaconess Medical Center,"
Department Description:  Schedule: Full Time - 40 Hours - Mon-Fri, 8:30-5PMBeth Israel Deaconess HealthCare-Pastor Medical Group provides personalized, comprehensive care for patients aged 18 and older.Job Location:  Brookline, MassachusettsReq ID:  39000BRJob Summary:  Reports to (one of the following): Practice Manager or Ambulatory Practice Coordinator with input from assigned physician, nurses or other health care providers. Responsible for delivering the highest quality service to patients while contributing to the smooth functioning of practice operations.Essential Responsibilities: 

Greets patients and visitors in a manner that demonstrates courtesy, service, respect and privacy. Serves as a central communication source in the delivery of patient care by being responsive, accessible and visible. Provides accurate information, directions and/or guidance and follows up promptly to ensure that needs have been met.
Performs check in, registration, scheduling, verification of demographic information and fiscal data utilizing a computer system. Collects co-payments following standards for managing copayment processing. Schedules, reschedules and cancels appointments making every effort to accommodate patient and provider needs. Obtains and enters referrals.
Other responsibilities will vary by practice and may include, but are not limited to: Check out, Schedules necessary follow-up appointments., Provides patient with any relevant educational materials as indicated, Visit ticket entry, Medical Records preparation.
Maintains clean and welcoming physical environment of the reception area. Maintains signage and clarity of information displayed in reception area. Monitors audio or visual images for appropriate programming and volume levels to ensure a non-intrusive and calming environment. Contacts the appropriate departments when repairs or services are needed and follows through on these tasks.
Monitors and supports patients and visitors entering and leaving the practice. Facilitates timely flow and proactively solves flow issues (i.e., early or late patient, late provider, etc.). Acts as liaison between patient and practice staff to ensure optimal flow and service delivery. Acts as liaison between patient and other areas to ensure optimal flow and service delivery.

Required Qualifications: 

High School diploma or GED required.
Certificate 1 Medical Admin Assistant Cert preferred.
0-1 years related work experience required.
Experience with computer systems required, including web based applications and some Microsoft Office applications which may include Outlook, Word, Excel, PowerPoint or Access.

Preferred Qualifications: 

One year experience in a healthcare or service/hospitality environment.

Competencies: 

Written Communications:  Ability to read, and write in English in order to understand basic safety instructions and take direction from supervisors; communicate effectively with patients, families and other medical center staff; and respond to basic questions.
Oral Communications:  Ability to understand spoken English in order to follow basic safety instructions and take direction from supervisors; communicate effectively in basic English with patients, families and medical center staff in response to routine questions.
Knowledge:  Ability to demonstrate basic knowledge of fundamental concepts, practices and procedures with the ability to use them in routine situations. Specialized knowledge not required.
Team Work:  Ability to interact respectfully with other employees, professional staff and/or external contacts to offer ideas, identify issues, obtain information or deliver services.
Customer Service:  Ability to provide a high level of customer service to patients, visitors, staff and external customers in a professional, service-oriented, respectful manner using skills in active listening and problem solving. Ability to remain calm in stressful situations.

Physical Nature of the Job: Light work: Exerting up to 20 pounds of force frequently to move objects. Some elements of the job are sedentary, but the employee will be required to stand for periods of time or move through out the hospital campus
Job Type: Full-time
"
9,healthcare,Caregiver/ Home Health Aide,The Helper Bees,"


Please read the following before applying:


    The Helper Bees has an elderly client
    in 
   West Newton, MA who needs a caregiver.
  

 Schedule:
 Tuesdays, Wednesdays, and Thursdays from 10:30a - 1:30p.


 Job Tasks: Grooming & Dressing Ambulation (including walking) Medication Reminders Meal Preparation Laundry Light Housekeeping Companionship, and Errands.


 Pay Rate: $ 25/hr



 Our ideal candidate:



 A friendly, compassionate, patient, and dedicated personality
 Communicative and determined; always does their best
 Willing to go above and beyond for their clients


 About The Helper Bees:


    We are a matching service dedicated to excellent senior care, acting as a bridge between caretakers and the families who need their help. We are the only in-home care company that uses technology to match caregivers to families needing help through our platform.
  

 Some of the benefits of working with us:


You earn significantly more than working for an agency (as much as double!)


You will be paid directly into your bank account 3-5 business days after a completed shift

 For general inquiries, please contact us at info@thehelperbees.com. Due to our high number of applicants, please do not call.
START YOUR APPLICATION BELOW

"
10,healthcare,Dental Assistant,GK Dental,"
Seeking an energetic, personable and confident candidate for a General dental practice. Be a part of a friendly and productive team. Great opportunity to start a career in a highly sought after field and to work in a private practice. Part time/Full time. NO EXPERIENCE NECESSARY, WILL TRAIN. New graduates welcome.
Job Types: Full-time, Part-time
Pay: $15.00 - $25.00 per hour
Benefits:

401(k)

Work Location: One location
"
